"Sample ID,Depth_cm,Cl- (mmol),Sulfate (mM),Sulfide (mM),d34S_SO4,D33S_SO4,d18O-SO4,d34S-H2S,D33S-H2S,d34S-CRS,D33S-CRS,DSO4-DH2S,D34S_h2s - D34S_so4"
",,,,,,,(VSMOW),(VCDT),,(SO2),(SF6),,"
"40,6,555.1,23.7,0.0,27.6,0.077,15.2,-38.9,NaN,-36.48,0.166,,66.5"
"39,21,521.5,19.8,0.6,33.3,0.105,18.2,-34.8,0.215,-35.13,0.159,4.5,68.1"
"38,31,503.9,17.7,0.7,36.9,0.13,19.9,-31.3,0.184,-34.13,0.166,2.2,68.2"
"37,41,495.7,16.3,1.0,39.0,0.142,20.2,-28.4,0.203,-34.09,0.176,1.7,67.4"
"36,51,466.9,14.1,0.8,41.5,0.147,20.2,-24.6,0.205,-31.00,0.166,2.0,66.1"
"35,61,477.4,12.3,1.8,45.5,0.152,21.9,-20.1,0.191,-31.27,0.188,2.8,65.6"
"34,71,453.5,10.8,2.2,46.1,0.155,20.6,-17.0,0.186,-30.46,0.175,1.9,63.1"
"33,81,431.7,8.3,3.1,52.2,0.16,22.0,-12.6,0.181,-28.22,0.178,3.4,64.8"
"32,91,411.4,6.7,2.6,56.2,NaN,22.5,-8.3,0.173,-29.97,0.175,1.1,64.5"
"31,101,413.3,6.5,3.3,57.8,0.158,22.9,-6.3,0.164,-27.59,0.170,0.8,64.1"
"30,111,407.9,4.3,1.5,61.9,0.138,22.1,-0.1,0.127,-28.96,0.172,0.4,61.9"
"29,121,392.6,2.7,3.0,68.9,0.132,23.0,4.5,0.127,-26.30,0.172,3.1,64.4"
"28,131,379.3,1.8,2.7,75.1,NaN,21.7,8.1,0.107,-28.80,0.170,0.6,67.0"
"27,141,342.5,1.3,1.3,80.8,0.063,22.0,10.3,0.108,-28.52,0.160,-0.9,70.5"
"26,151,356.6,0.6,2.2,81.4,NaN,23.6,14.6,0.073,-27.72,0.153,1.6,66.8"
"25,161,339.3,0.5,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"
"24,171,334.4,0.5,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"
"23,181,321.8,0.6,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"
"22,191,331.5,0.8,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"
"21,201,310.8,0.5,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"
"20,211,297.8,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"